ColorId,RGB,MinJobDensity,MaxJobDensity,Units
1,"204,204,238",5.0,17486.0,Jobs per square mile
2,"153,153,221",17487.0,69932.0,Jobs per square mile
3,"102,102,204",69933.0,157340.0,Jobs per square mile
4,"51,51,187",157341.0,279713.0,Jobs per square mile
5,"0,0,170",279714.0,437049.0,Jobs per square mile
