"","X","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"3233",3233,360470001003005,110.4765625,27,62,21,35,46,29,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,6,0,26,70,0,84,16,0,6,0,4,96,14,11,19,30,23,45,65
"3234",3234,360470001003006,106.3515625,21,67,17,42,35,28,0,0,0,0,0,0,6,0,10,0,5,3,0,3,0,0,2,47,29,0,71,12,0,22,0,0,95,10,14,20,22,28,59,46
"3235",3235,360470001004000,11.71484375,0,7,8,2,5,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,1,9,4,0,1,0,1,7,8,7,1,4,3,13,2
"3236",3236,360470001004001,23.0625,1,11,10,2,7,13,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,1,0,0,5,0,13,7,0,2,0,0,10,12,8,2,10,1,15,7
"3237",3237,360470001004002,120.83203125,21,62,33,23,56,37,0,0,0,0,0,0,38,0,1,0,17,0,0,1,1,0,0,34,24,0,75,28,1,9,1,2,65,51,31,24,25,15,87,29
"3238",3238,360470002001000,663.91796875,145,404,122,430,192,49,0,0,0,15,13,11,8,0,13,0,2,16,0,4,1,558,13,14,0,3,161,475,3,17,0,15,586,85,105,134,184,103,242,429
"3239",3239,360470002001001,4.12109375,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,1,1,2,0,2,2
"3240",3240,360470002001002,2.0625,2,3,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,1,0,4,2,5
"3241",3241,360470002001003,92.79296875,18,55,18,25,42,24,0,0,0,3,15,37,5,0,0,0,0,13,0,3,0,0,1,0,14,0,52,15,0,13,3,8,63,28,10,22,26,15,59,32
"3242",3242,360470002001004,243.640625,50,127,65,51,127,64,0,0,0,21,28,58,18,0,3,1,0,6,10,0,0,0,2,93,1,1,166,23,4,45,0,4,179,63,40,53,38,61,147,95
"3243",3243,360470002001005,97.546875,14,67,20,27,39,35,0,0,0,13,1,41,22,20,0,0,0,3,0,0,0,0,0,0,1,0,64,9,0,24,0,4,80,21,21,25,22,19,71,30
"3244",3244,360470002001006,147.98046875,17,102,28,47,39,61,0,0,0,122,2,12,3,0,0,0,0,1,0,0,0,0,0,2,5,0,126,9,0,11,0,1,129,18,26,28,35,41,123,24
"3245",3245,360470002001007,109.6875,17,68,25,18,57,35,0,0,0,3,51,45,6,0,0,0,0,0,5,0,0,0,0,0,0,0,80,12,0,18,0,0,90,20,17,25,34,17,78,32
"3246",3246,360470002001008,58.546875,10,42,8,17,32,11,0,0,0,17,11,10,2,0,0,0,1,0,0,0,0,0,0,0,19,0,50,5,0,4,0,1,42,18,3,11,14,22,40,20
"3247",3247,360470002001009,458.0546875,72,291,97,108,158,194,0,0,0,51,0,28,2,0,85,0,0,1,0,0,0,280,0,0,13,0,310,111,4,26,0,9,336,124,60,83,115,130,218,242
"3248",3248,360470002001010,272.765625,37,148,91,58,123,95,0,0,0,0,77,41,0,2,52,0,0,1,0,1,0,0,0,0,101,1,237,8,3,26,1,1,248,28,35,41,65,98,182,94
"3249",3249,360470002001011,156.375,18,78,61,63,59,35,0,0,0,22,23,17,22,1,0,0,0,0,0,66,0,6,0,0,0,0,141,2,0,10,2,2,129,28,25,36,44,34,105,52
"3250",3250,360470002001012,84.53125,11,48,27,18,33,35,0,0,0,5,5,7,27,0,0,0,0,33,0,3,0,0,0,1,4,1,69,2,0,12,2,1,72,14,7,16,18,34,68,18
"3251",3251,360470002001014,1.6171875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
"3252",3252,360470002001015,126.0078125,26,78,21,104,18,3,0,0,0,0,0,0,0,0,2,0,0,0,0,118,0,0,0,0,5,0,40,79,0,5,0,1,106,19,30,18,32,19,105,20
