"","X","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"17481",17481,360810352001003,23.36328125,5,14,4,4,10,9,0,0,0,2,0,1,2,4,1,1,1,0,1,1,0,6,1,2,0,0,4,15,0,4,0,0,19,4,4,6,5,3,12,11
"17482",17482,360810352001004,1.875,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"17483",17483,360810352001005,7.953125,1,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,1,0,0,3,1,1,0,2,0,3,1
"17484",17484,360810352001006,7.546875,4,5,2,2,4,5,0,0,0,0,0,0,2,3,0,0,1,0,1,0,0,2,0,1,1,0,0,10,0,0,0,1,10,1,1,2,1,3,7,4
"17485",17485,360810352001007,4.32421875,4,6,4,3,7,4,0,0,0,0,0,0,2,4,0,0,0,1,0,1,0,5,0,1,0,0,4,7,0,2,1,0,13,1,1,5,3,1,5,9
"17486",17486,360810352001008,13.5078125,2,7,3,2,7,3,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,4,0,2,0,0,1,8,0,3,0,0,11,1,4,4,2,0,7,5
"17487",17487,360810352001009,25.828125,3,15,7,6,11,8,0,0,0,2,2,0,1,1,2,1,1,0,1,2,1,9,1,0,1,0,15,10,0,0,0,0,10,15,7,5,6,4,10,15
"17488",17488,360810352001010,29.265625,6,15,6,3,15,9,0,0,0,3,0,1,3,1,0,0,0,1,0,3,3,7,1,2,2,0,17,10,0,0,0,0,27,0,5,7,3,6,9,18
"17489",17489,360810352001011,23.41015625,5,14,3,5,12,5,1,0,0,1,0,0,4,2,2,1,1,0,0,2,0,2,1,3,1,1,18,4,0,0,0,0,22,0,2,4,2,9,13,9
"17490",17490,360810352001012,14.99609375,2,3,0,2,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,1,0,1,5,0,0,2,0,1,4,1
"17491",17491,360810352001013,11.484375,2,6,2,6,4,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,2,1,0,1,0,2,8,0,0,0,0,6,4,1,2,2,3,1,9
"17492",17492,360810352001015,1.53515625,1,4,2,2,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,0,0,1,6,0,0,0,0,7,0,0,2,1,3,1,6
"17493",17493,360810352002001,396.1328125,76,219,103,77,121,200,0,0,1,10,9,5,38,30,8,23,10,18,4,31,53,98,4,18,11,27,6,379,1,2,0,10,383,15,49,89,114,70,167,231
"17494",17494,360810352002003,9.52734375,1,7,2,5,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0,1,0,0,1,8,1,0,0,0,10,0,3,2,3,1,2,8
"17495",17495,360810352002004,17.15234375,4,8,3,3,6,6,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,5,0,2,2,0,1,14,0,0,0,0,14,1,1,7,2,1,8,7
"17496",17496,360810352002005,12.9453125,5,6,1,1,7,4,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,3,0,1,3,0,1,11,0,0,0,0,12,0,1,3,0,3,5,7
"17497",17497,360810352002006,22.671875,3,12,7,9,7,6,0,0,0,1,0,2,1,4,0,1,0,0,0,3,1,9,0,0,0,0,4,18,0,0,0,0,22,0,4,2,5,8,10,12
