"","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"1442","360050225002003",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
"1443","360050225003000",16,3,12,1,5,10,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,1,1,0,7,7,0,1,0,1,11,5,2,3,8,0,8,8
"1444","360050225003001",18,2,9,7,11,6,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,9,0,0,0,0,9,3,0,3,0,3,9,9,5,6,3,2,12,6
"1445","360050225004001",17,3,13,1,5,11,1,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,4,0,6,0,0,8,7,0,2,0,0,8,9,6,1,3,4,5,12
"1446","360050225005000",9,1,7,1,3,6,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,9,2,3,3,0,6,3
"1447","360050225006000",24,3,15,6,10,8,6,0,0,0,0,0,0,7,0,0,0,3,0,0,1,0,13,0,0,0,0,15,2,1,6,0,0,15,9,6,5,4,6,14,10
"1448","360050227011000",36,12,18,6,15,18,3,0,0,0,5,0,2,12,0,0,0,0,0,0,0,0,14,0,0,3,0,24,6,1,3,0,2,17,19,5,6,8,5,19,17
"1449","360050227011001",127,16,83,28,27,48,52,0,0,0,1,19,0,11,1,0,4,7,0,1,0,0,74,0,0,8,1,70,49,0,6,0,2,76,51,23,25,32,31,61,66
"1450","360050227012000",16,6,9,1,2,13,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,3,0,0,8,3,0,5,0,0,9,7,5,3,1,1,5,11
"1451","360050227012001",12,0,5,7,3,8,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,8,0,0,0,0,5,5,0,0,0,2,7,5,1,3,7,1,5,7
"1452","360050227012002",3,0,3,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,2,1,2,1
"1453","360050227013000",6,2,3,1,4,1,1,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,5,1,0,1,1,2,4,2
"1454","360050227013002",16,3,10,3,10,5,1,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,3,5,0,8,7,0,0,0,1,6,10,8,2,1,2,10,6
"1455","360050227013003",32,12,16,4,4,22,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,19,0,0,0,2,14,14,0,4,0,0,23,9,2,5,5,8,18,14
"1456","360050227021002",29,8,15,6,11,15,3,0,0,0,0,0,0,20,0,0,1,3,0,0,0,0,0,0,5,0,0,19,1,0,5,0,4,10,19,7,4,7,3,16,13
"1457","360050227021003",3,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,2,0,0,3,0,2,1
"1458","360050227021004",50,4,30,16,10,33,7,0,0,0,0,0,0,4,4,0,0,5,2,0,0,0,35,0,0,0,0,26,16,0,7,0,1,19,31,10,9,15,12,17,33
"1459","360050227021005",17,1,11,5,4,12,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,8,0,2,0,0,13,2,0,0,0,2,5,12,6,6,3,1,8,9
"1460","360050227031001",27,3,20,4,17,6,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,22,0,0,0,0,16,10,1,0,0,0,10,17,5,3,12,4,8,19
