"X","id","s000","s000_d0","s000_d1","s000_d2","s000_d3","coords.x1","coords.x2","optional"
35444,360050020006001,15,15,0,0,0,1834953.5,586693.375,TRUE
35445,360050023001006,21,19,2,0,0,1830116.75,584355.0625,TRUE
35446,360050023002000,6,6,0,0,0,1830482.75,584407.9375,TRUE
35447,360050023003001,15,15,0,0,0,1830441,584254.75,TRUE
35448,360050024001004,131,111,20,0,0,1834297.375,586993.25,TRUE
35449,360050025001000,78,73,5,0,0,1831005.75,584257.8125,TRUE
35450,360050025001001,18,18,0,0,0,1830886.75,584293.1875,TRUE
35451,360050025002000,13,13,0,0,0,1830974.125,584140.5625,TRUE
35452,360050025003000,42,38,4,0,0,1830717.75,584342.625,TRUE
35453,360050025004000,10,10,0,0,0,1830695.75,584262.8125,TRUE
35454,360050025005000,4,4,0,0,0,1830864.5,584213.625,TRUE
35455,360050025005001,163,139,24,0,0,1830843.875,584137.625,TRUE
35456,360050025005002,6,6,0,0,0,1830675.25,584185.75,TRUE
35457,360050027011000,16,12,4,0,0,1831398.75,584061.5,TRUE
35458,360050027012000,49,45,4,0,0,1831223.5,584194.6875,TRUE
35459,360050027021001,56,51,5,0,0,1831651,584343.9375,TRUE
35460,360050027021002,149,133,14,2,0,1831483.125,584379.875,TRUE
35461,360050027021004,16,15,1,0,0,1831605.75,584263.875,TRUE
35462,360050027022000,18,16,2,0,0,1831568.125,584192.8125,TRUE
35463,360050027022001,84,80,4,0,0,1831457.875,584217.1875,TRUE
35464,360050027022002,6,6,0,0,0,1831439,584134.1875,TRUE
35465,360050027023000,4,4,0,0,0,1831259.625,584360.5,TRUE
35466,360050027023001,75,75,0,0,0,1831243.25,584279.3125,TRUE
35467,360050028001007,59,55,4,0,0,1834140.25,586850.625,TRUE
35468,360050028001008,28,24,4,0,0,1833960.25,586776.75,TRUE
35469,360050028001009,16,15,1,0,0,1833886.875,586744.5,TRUE
35470,360050028001010,8,7,1,0,0,1833814.875,586713.4375,TRUE
35471,360050028001011,58,57,1,0,0,1833743.125,586681.5625,TRUE
35472,360050028001015,25,24,1,0,0,1833510.5,586595.3125,TRUE
35473,360050028001016,36,34,2,0,0,1833593,586617.625,TRUE
35474,360050028001017,5,5,0,0,0,1833669.125,586647.3125,TRUE
35475,360050028001018,14,13,1,0,0,1833720.625,586427.9375,TRUE
35476,360050028002002,8,5,3,0,0,1834110.375,586597.25,TRUE
35477,360050028003000,4,3,1,0,0,1833833,586556.875,TRUE
35478,360050028003001,3,3,0,0,0,1833894.5,586451.25,TRUE
35479,360050031001000,6,5,1,0,0,1831966.125,585060.5,TRUE
35480,360050031001001,7,6,1,0,0,1831891.5,585042.875,TRUE
35481,360050031001003,19,19,0,0,0,1832021.875,585003.5,TRUE
35482,360050031001005,13,13,0,0,0,1831928.375,584866.3125,TRUE
35483,360050031001006,40,37,3,0,0,1831885.375,584762,TRUE
35484,360050031001007,44,40,4,0,0,1831997.5,584820.9375,TRUE
35485,360050031001008,18,17,1,0,0,1832095.125,584968.5625,TRUE
35486,360050031001009,86,83,2,1,0,1832090.875,584818.8125,TRUE
35487,360050031001010,22,21,1,0,0,1831926.5,584610.125,TRUE
35488,360050033001000,10,10,0,0,0,1831802.125,584556.9375,TRUE
35489,360050033001001,38,33,5,0,0,1831715.25,584564.3125,TRUE
35490,360050033001002,2,1,1,0,0,1831632.125,584574.375,TRUE
35491,360050033001004,24,21,3,0,0,1831536.625,584474.875,TRUE
35492,360050033001005,44,36,8,0,0,1831615.125,584462.625,TRUE
35493,360050033001006,4,4,0,0,0,1831744.5,584443.5625,TRUE
35494,360050033002000,22,21,1,0,0,1831464.5,584536.125,TRUE
35495,360050033002001,7,7,0,0,0,1831383.375,584553.625,TRUE
35496,360050033003001,13,13,0,0,0,1831208.125,584608.9375,TRUE
35497,360050033003003,9,9,0,0,0,1831282.5,584522.625,TRUE
35498,360050035001001,8,8,0,0,0,1831728.125,584891.8125,TRUE
35499,360050035001002,30,28,2,0,0,1831648.75,584894.8125,TRUE
35500,360050035001003,61,59,2,0,0,1831645,584771.1875,TRUE
35501,360050035001005,11,11,0,0,0,1831806.375,584764.6875,TRUE
35502,360050035001007,15,14,1,0,0,1831721.25,584667.9375,TRUE
35503,360050035001008,1,1,0,0,0,1831641.125,584671.375,TRUE
35504,360050035002000,6,6,0,0,0,1831556.625,585071.125,TRUE
35505,360050035003001,76,73,3,0,0,1831732.625,585049.0625,TRUE
35506,360050035003002,31,28,3,0,0,1831653.25,585052,TRUE
35507,360050037001000,21,20,1,0,0,1831409.625,584884.625,TRUE
35508,360050038001000,5,5,0,0,0,1835243,586820.3125,TRUE
35509,360050038001003,4,4,0,0,0,1835009.5,586797.5625,TRUE
35510,360050039001000,35,34,1,0,0,1831050.5,584463.5625,TRUE
35511,360050039001001,119,109,10,0,0,1831025.625,584342.8125,TRUE
35512,360050039002001,68,65,3,0,0,1830505,584493.3125,TRUE
35513,360050039003000,79,76,3,0,0,1830390,584694,TRUE
35514,360050039003001,64,59,5,0,0,1830349.25,584623.625,TRUE
35515,360050039003002,39,37,2,0,0,1830314,584549.75,TRUE
35516,360050039004000,16,16,0,0,0,1830811.5,584573.75,TRUE
35517,360050039005000,1,1,0,0,0,1830794.625,584495.5625,TRUE
35518,360050039005001,55,51,4,0,0,1830776.625,584414.75,TRUE
35519,360050040011001,9,9,0,0,0,1835342.375,587847.75,TRUE
35520,360050040011003,3,3,0,0,0,1835418.375,587702.3125,TRUE
35521,360050040011004,1,1,0,0,0,1835271.5,587636.9375,TRUE
35522,360050040011005,16,15,1,0,0,1835456.25,587628.375,TRUE
35523,360050041001000,1,1,0,0,0,1831105.25,584763.125,TRUE
35524,360050041001001,102,84,18,0,0,1831094.625,584684.25,TRUE
35525,360050041001002,14,14,0,0,0,1831077.625,584591.6875,TRUE
35526,360050041002000,43,38,5,0,0,1830865.75,584813.0625,TRUE
35527,360050041002001,19,18,1,0,0,1830848.5,584735.4375,TRUE
35528,360050041002002,14,13,1,0,0,1830838,584652.625,TRUE
35529,360050041003000,4,4,0,0,0,1830467,584830.9375,TRUE
35530,360050041003001,294,275,19,0,0,1830429.375,584763.75,TRUE
35531,360050041004000,19,19,0,0,0,1830613.25,584877.0625,TRUE
35532,360050041004001,2,2,0,0,0,1830579.625,584764.25,TRUE
35533,360050042001001,132,109,23,0,0,1834664.875,587100.3125,TRUE
35534,360050042002000,11,7,4,0,0,1834971.875,586977.375,TRUE
35535,360050042003003,50,41,9,0,0,1835187.125,587402.8125,TRUE
35536,360050042004000,20,15,5,0,0,1835218.25,587077.625,TRUE
35537,360050042005000,54,52,2,0,0,1835351.375,587356.625,TRUE
35538,360050042005003,125,103,21,1,0,1835436.875,587172.625,TRUE
35539,360050042005004,3,2,1,0,0,1835290,587108.8125,TRUE
35540,360050042006002,339,266,73,0,0,1835509.875,587431.625,TRUE
35541,360050042006003,127,107,19,1,0,1835580.625,587282.5,TRUE
35542,360050042007000,10,9,1,0,0,1834937.375,587194.1875,TRUE
35543,360050043001000,7,7,0,0,0,1831176.125,585153.375,TRUE
35544,360050043001001,103,94,9,0,0,1830987.25,585193.75,TRUE
35545,360050043002000,48,42,6,0,0,1830861.5,585232.625,TRUE
35546,360050043002001,10,7,3,0,0,1830807.125,585218.875,TRUE
35547,360050043002002,43,39,4,0,0,1830773.875,585159.6875,TRUE
35548,360050043002003,13,13,0,0,0,1830820.5,585158.375,TRUE
35549,360050043002004,126,112,14,0,0,1830951.5,585115.9375,TRUE
35550,360050043002005,1440,1337,103,0,0,1830917.625,585044.4375,TRUE
35551,360050043002006,62,56,6,0,0,1830734,585090.3125,TRUE
35552,360050043002007,50,47,3,0,0,1830694.125,585019.9375,TRUE
35553,360050043002008,2,2,0,0,0,1830654.25,584948.875,TRUE
35554,360050043002009,16,14,2,0,0,1831148.5,584995.625,TRUE
35555,360050043003000,10,10,0,0,0,1831120.875,584838.8125,TRUE
35556,360050043003001,81,75,6,0,0,1830883.5,584891,TRUE
35557,360050043004001,4,4,0,0,0,1830910.75,584980.375,TRUE
35558,360050044002000,3,3,0,0,0,1834534.625,587371.75,TRUE
35559,360050044003000,492,384,107,1,0,1835184.5,587591.5625,TRUE
35560,360050044003001,105,90,15,0,0,1835094.75,587561.0625,TRUE
35561,360050044003002,134,99,33,2,0,1834950,587499.3125,TRUE
35562,360050044004001,13,12,1,0,0,1834378.375,587210.625,TRUE
35563,360050044004004,4,3,1,0,0,1834461.625,587183.875,TRUE
35564,360050046001002,1,1,0,0,0,1834517.5,587100.625,TRUE
35565,360050046001006,5,5,0,0,0,1834473.5,586997.4375,TRUE
35566,360050046001009,106,85,21,0,0,1834783.125,586876.0625,TRUE
