"x"
2e-04
1e-04
7e-05
3e-05
5e-05
0.00015
4e-04
7e-04
8e-04
0.00115
0.00139
0.0014
0.0014
0.0014
0.00139
0.00135
0.0013
0.0012
0.0011
8e-04
0.00065
0.00045
3e-04
2e-04
