ColorId,RGB,MinJobDensity,MaxJobDensity,Units
1,"204,204,255",5.0,2499.0,Jobs per square mile
2,"153,153,255",2500.0,9983.0,Jobs per square mile
3,"102,102,255",9984.0,22457.0,Jobs per square mile
4,"51,51,255",22458.0,39920.0,Jobs per square mile
5,"0,0,255",39921.0,62373.0,Jobs per square mile
